age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,unemployed,married,primary,no,1787,no,no,cellular,19,oct,79,1,-1,0,unknown,no
33,services,married,secondary,no,4789,yes,no,cellular,11,may,220,1,339,4,failure,no
35,management,married,tertiary,no,1350,yes,no,cellular,16,apr,185,1,330,1,failure,no
30,management,single,tertiary,no,1476,yes,yes,telephone,3,jun,199,4,-1,0,unknown,no
59,admin.,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no
35,blue-collar,married,unknown,no,747,no,no,unknown,23,jul,141,2,176,3,failure,no
36,management,single,tertiary,no,747,no,no,cellular,14,aug,341,1,330,2,failure,no
39,services,married,secondary,no,0,yes,no,cellular,6,may,151,1,-1,0,unknown,no
41,retired,married,unknown,no,0,no,no,unknown,14,may,57,1,-1,0,unknown,no
43,technician,single,secondary,no,-88,yes,yes,cellular,17,nov,313,1,-1,0,unknown,no
39,services,married,secondary,no,9374,yes,no,unknown,3,jun,71,1,330,2,failure,no
43,entrepreneur,married,tertiary,no,2648,yes,yes,cellular,6,aug,89,2,330,2,other,no
36,admin.,married,tertiary,no,9374,yes,no,cellular,14,may,189,2,330,2,failure,no
20,student,single,secondary,no,502,yes,no,cellular,3,jun,219,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,360,yes,no,unknown,9,may,185,1,330,1,failure,no
40,management,married,tertiary,no,194,no,yes,cellular,17,apr,239,3,330,2,failure,no
56,retired,married,primary,no,4073,yes,no,cellular,19,aug,217,1,-1,0,unknown,no
37,admin.,married,secondary,no,2317,yes,no,unknown,23,jul,380,1,330,2,failure,no
25,services,single,secondary,no,-221,yes,yes,cellular,16,nov,50,1,-1,0,unknown,no
31,blue-collar,single,primary,no,177,no,no,cellular,6,nov,83,1,-1,0,unknown,no
40,management,married,tertiary,no,619,no,no,unknown,3,may,234,2,330,2,failure,no
56,admin.,married,secondary,no,0,no,no,cellular,17,aug,383,1,330,1,failure,no
37,technician,married,secondary,no,0,yes,no,cellular,23,nov,123,1,-1,0,unknown,no
31,admin.,married,tertiary,no,0,yes,no,unknown,7,may,92,1,330,1,failure,no
25,blue-collar,married,secondary,no,0,yes,no,unknown,4,jul,198,2,330,1,failure,no
29,management,single,tertiary,no,0,yes,no,cellular,20,aug,139,1,-1,0,unknown,no
35,blue-collar,married,secondary,no,747,no,no,cellular,19,nov,217,1,-1,0,unknown,no
45,technician,married,secondary,no,184,no,no,cellular,5,may,380,1,330,1,failure,no
35,services,married,secondary,no,0,yes,no,cellular,6,aug,50,1,-1,0,unknown,no
32,admin.,married,tertiary,no,0,no,no,cellular,17,apr,55,1,330,1,failure,no
58,retired,married,primary,no,121,no,no,unknown,3,may,358,1,330,1,failure,no
41,admin.,married,secondary,no,5935,yes,no,cellular,23,jul,153,1,330,2,failure,no
45,technician,married,secondary,no,0,yes,no,cellular,14,may,280,1,330,2,failure,no
36,services,married,secondary,no,0,no,no,cellular,3,jun,138,1,-1,0,unknown,no
37,services,married,secondary,no,0,yes,no,cellular,6,aug,188,1,-1,0,unknown,no
44,admin.,married,secondary,no,0,yes,no,cellular,17,nov,313,1,-1,0,unknown,no
50,management,married,tertiary,no,184,no,no,cellular,3,may,255,2,330,1,failure,no
47,blue-collar,married,unknown,no,0,yes,no,cellular,14,may,92,1,330,1,failure,no
32,unemployed,married,primary,no,0,no,no,cellular,23,jul,198,1,-1,0,unknown,no
60,retired,married,secondary,no,0,no,no,unknown,5,may,358,1,330,1,failure,no
54,technician,married,secondary,no,1291,yes,no,cellular,17,aug,353,1,330,1,failure,no
39,admin.,married,secondary,no,1432,no,no,cellular,3,nov,174,1,-1,0,unknown,no
36,management,married,tertiary,no,0,yes,no,cellular,6,may,275,1,330,1,failure,no
52,entrepreneur,married,tertiary,no,745,yes,no,cellular,14,aug,222,1,330,2,failure,no
46,services,married,secondary,no,201,yes,no,cellular,17,nov,296,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,-46,no,no,cellular,23,jul,382,1,-1,0,unknown,no
57,retired,married,secondary,no,184,no,no,cellular,3,may,255,1,330,1,failure,no
40,technician,married,secondary,no,0,yes,no,cellular,6,aug,296,1,-1,0,unknown,no
45,admin.,married,tertiary,no,0,no,no,cellular,14,may,353,1,330,1,failure,no
59,management,married,tertiary,no,0,yes,no,cellular,17,nov,174,1,-1,0,unknown,no
41,blue-collar,married,secondary,no,0,no,no,cellular,3,may,275,1,330,1,failure,no
42,technician,married,secondary,no,529,yes,no,cellular,6,aug,222,1,330,2,failure,no
29,services,married,secondary,no,0,yes,no,cellular,14,may,296,1,-1,0,unknown,no
55,retired,married,primary,no,0,no,no,cellular,17,nov,382,1,-1,0,unknown,no
31,management,married,tertiary,no,1730,yes,no,cellular,3,may,255,1,330,1,failure,no











